alert_id,transaction_id,customer_id,reason,risk_score,created_at
1,17,4000,high_amount;night_transaction;foreign_country,75,2026-03-05 00:55:58
2,31,1813,foreign_country,45,2026-03-15 18:09:12
3,46,1920,risk_score_threshold,40,2026-01-10 10:09:09
4,54,1708,high_amount;night_transaction;foreign_country,60,2026-05-29 01:35:07
5,66,2793,foreign_country,45,2026-01-12 07:12:49
6,70,1629,risk_score_threshold,50,2026-03-07 08:14:00
7,78,3197,high_amount;foreign_country,65,2026-05-23 22:17:54
8,82,210,high_amount;night_transaction;foreign_country,60,2026-06-29 04:55:12
9,87,2585,risk_score_threshold,50,2026-02-05 09:59:31
10,124,3739,risk_score_threshold,65,2026-02-28 12:29:57
11,170,1510,high_amount;night_transaction;foreign_country,60,2026-05-21 02:31:15
12,178,4118,risk_score_threshold,40,2026-03-03 12:03:09
13,181,3126,risk_score_threshold,40,2026-05-10 09:00:01
14,190,2773,risk_score_threshold,50,2026-02-04 13:31:03
15,204,2051,foreign_country,45,2026-05-26 11:42:09
16,208,1718,risk_score_threshold,50,2026-01-23 22:42:30
17,217,4031,foreign_country,55,2026-03-21 16:35:36
18,230,4592,foreign_country,45,2026-03-27 11:25:39
19,265,1301,risk_score_threshold,40,2026-01-27 08:21:08
20,279,1373,high_amount;night_transaction;foreign_country,75,2026-02-04 02:53:29
21,292,2773,risk_score_threshold,40,2026-06-18 19:17:42
22,360,1920,risk_score_threshold,40,2026-04-01 10:16:23
23,380,4897,night_transaction;foreign_country,45,2026-01-14 03:10:21
24,399,4246,risk_score_threshold,65,2026-02-04 18:07:59
25,407,931,risk_score_threshold,40,2026-01-31 10:33:31
26,427,1660,risk_score_threshold,40,2026-06-09 22:13:50
27,431,1345,foreign_country,45,2026-01-31 15:37:36
28,441,459,risk_score_threshold,50,2026-04-29 09:56:33
29,448,4028,high_amount;night_transaction;foreign_country,85,2026-01-01 02:35:13
30,455,4303,foreign_country,45,2026-01-25 23:02:26
31,499,2046,foreign_country,45,2026-03-30 23:51:58
32,509,3197,high_amount;night_transaction;foreign_country,100,2026-06-23 05:11:38
33,512,2459,risk_score_threshold,40,2026-01-09 17:00:42
34,526,676,high_amount;foreign_country,65,2026-04-30 22:00:32
35,527,4190,foreign_country,60,2026-05-07 18:31:49
36,528,3392,foreign_country,85,2026-02-09 11:52:56
37,547,3371,risk_score_threshold,50,2026-03-27 21:49:49
38,551,1122,high_amount;night_transaction;foreign_country,75,2026-01-08 04:33:03
39,555,4751,high_amount;foreign_country,75,2026-05-15 22:23:20
40,561,1128,risk_score_threshold,40,2026-01-27 17:38:35
41,566,1787,foreign_country,45,2026-04-22 19:34:22
42,575,4119,risk_score_threshold,40,2026-02-24 11:07:22
43,621,4217,risk_score_threshold,50,2026-05-15 20:12:08
44,640,3543,foreign_country,45,2026-01-14 22:27:16
45,645,2031,foreign_country,60,2026-02-21 12:47:33
46,659,718,night_transaction;foreign_country,55,2026-03-02 03:47:29
47,685,463,high_amount;night_transaction;foreign_country,75,2026-05-09 05:23:42
48,697,2563,risk_score_threshold,40,2026-01-12 13:09:35
49,700,665,risk_score_threshold,40,2026-05-11 15:04:24
50,713,4449,risk_score_threshold,65,2026-05-04 13:19:39
51,739,2894,risk_score_threshold,40,2026-04-25 06:43:16
52,753,430,risk_score_threshold,40,2026-05-14 11:01:39
53,785,4213,high_amount;night_transaction;foreign_country,100,2026-05-09 03:12:49
54,788,1012,risk_score_threshold,50,2026-03-27 10:24:31
55,811,86,risk_score_threshold,40,2026-01-03 11:19:59
56,822,466,foreign_country,45,2026-04-29 10:49:14
57,848,3450,foreign_country,45,2026-02-08 18:15:12
58,850,1128,risk_score_threshold,50,2026-05-25 06:14:45
59,853,2139,risk_score_threshold,50,2026-02-11 22:23:52
60,855,4299,risk_score_threshold,65,2026-05-22 09:48:59
61,867,688,high_amount;night_transaction;foreign_country,60,2026-02-25 02:57:05
62,878,881,high_amount;night_transaction;foreign_country,70,2026-03-26 05:03:02
63,898,3192,high_amount;night_transaction;foreign_country,75,2026-06-23 04:22:51
64,904,2515,foreign_country,45,2026-02-27 17:23:36
65,933,1629,risk_score_threshold,40,2026-03-11 23:21:42
66,957,3739,risk_score_threshold,40,2026-06-15 11:07:58
67,961,2153,foreign_country,45,2026-04-10 15:03:39
68,969,1315,high_amount;night_transaction;foreign_country,75,2026-03-17 02:40:05
69,980,2674,high_amount;night_transaction;foreign_country,75,2026-03-15 03:17:22
70,992,4522,high_amount;foreign_country,90,2026-03-18 22:52:12
71,1021,3905,risk_score_threshold,50,2026-05-08 23:18:39
72,1027,3043,risk_score_threshold,50,2026-04-03 14:01:13
73,1036,2381,risk_score_threshold,50,2026-02-27 06:47:51
74,1043,3668,risk_score_threshold,40,2026-04-21 08:03:43
75,1053,2894,risk_score_threshold,40,2026-06-11 10:11:14
76,1061,3743,foreign_country,45,2026-05-13 07:00:45
77,1065,1112,foreign_country,45,2026-04-26 19:39:33
78,1077,2398,foreign_country,45,2026-04-22 15:58:09
79,1081,3739,risk_score_threshold,40,2026-01-24 11:35:17
80,1105,3270,high_amount;night_transaction;foreign_country,60,2026-01-14 05:53:32
81,1117,895,high_amount;night_transaction;foreign_country,75,2026-02-21 03:12:25
82,1157,2671,risk_score_threshold,60,2026-06-22 09:57:19
83,1172,418,high_amount;foreign_country,65,2026-02-02 22:40:32
84,1198,4557,risk_score_threshold,40,2026-01-09 19:04:50
