card_id,customer_id,card_type,card_status,daily_limit
90001,475,debit,active,5000
90002,822,debit,active,3000
90003,4203,credit,active,5000
90004,2290,credit,active,1500
90005,3130,debit,active,500
90006,2139,debit,active,1500
90007,2187,debit,active,500
90008,1513,credit,active,1000
90009,3189,debit,active,5000
90010,3946,credit,active,3000
90011,3956,debit,active,500
90012,3456,credit,active,5000
90013,1944,credit,active,5000
90014,3058,debit,active,3000
90015,539,credit,active,500
90016,4088,debit,active,5000
90017,4289,credit,active,1500
90018,844,credit,active,1000
90019,367,debit,active,1000
90020,3172,credit,active,3000
90021,2103,credit,active,500
90022,4824,debit,active,1500
90023,1890,debit,active,1500
90024,4663,debit,flagged,3000
90025,127,debit,active,1500
90026,938,credit,active,500
90027,4525,debit,active,1500
90028,4577,debit,active,5000
90029,1165,credit,active,500
90030,3788,credit,active,1500
90031,2021,debit,active,3000
90032,1135,credit,flagged,3000
90033,29,debit,active,3000
90034,4681,debit,active,5000
90035,3732,credit,active,5000
90036,86,debit,active,5000
90037,1900,debit,active,1500
90038,4467,debit,active,1500
90039,1574,debit,active,1500
90040,3676,debit,active,1500
90041,692,credit,active,1500
90042,3092,debit,active,1500
90043,1001,debit,active,500
90044,2493,debit,active,500
90045,1234,debit,active,5000
90046,2707,credit,active,5000
90047,3951,debit,active,1500
90048,4939,credit,active,3000
90049,668,credit,active,1000
90050,268,credit,active,3000
90051,467,credit,active,1500
90052,3130,debit,active,3000
90053,2076,debit,active,5000
90054,4839,credit,active,3000
90055,3156,credit,active,5000
90056,3716,credit,active,3000
90057,497,debit,active,1000
90058,2541,credit,flagged,5000
90059,3728,debit,active,3000
90060,1937,debit,active,1000
90061,2165,credit,active,3000
90062,2731,credit,active,1500
90063,2788,debit,active,1500
90064,4447,credit,active,500
90065,4806,credit,active,3000
90066,1780,debit,active,1500
90067,3171,debit,active,1500
90068,1329,credit,active,5000
90069,4782,credit,active,1500
90070,3911,credit,active,500
90071,881,debit,active,5000
90072,3873,credit,active,3000
90073,2966,credit,active,1500
90074,3427,credit,active,5000
90075,4631,credit,active,3000
90076,4724,debit,active,1500
90077,2199,debit,active,5000
90078,86,credit,flagged,3000
90079,4329,credit,active,500
90080,3555,credit,active,5000
90081,1491,credit,active,5000
90082,1084,credit,active,3000
90083,277,credit,active,3000
90084,3597,credit,active,1000
90085,4666,credit,active,1000
90086,4072,credit,active,3000
90087,572,debit,active,3000
90088,1953,credit,active,5000
90089,4892,credit,active,500
90090,3334,debit,active,1000
90091,1900,debit,active,1000
90092,426,debit,active,5000
90093,1883,credit,active,500
90094,3287,debit,active,3000
90095,4637,credit,active,500
90096,3268,credit,active,1000
90097,2794,credit,active,3000
90098,2647,debit,active,500
90099,1119,credit,active,500
90100,271,credit,active,1500
90101,2080,credit,active,3000
90102,2791,debit,active,5000
90103,4263,debit,active,1500
90104,2868,credit,active,5000
90105,53,credit,active,3000
