customer_id,name,home_country,risk_profile,avg_transaction_amount,created_at
1,Customer_1,France,low,47.5,2025-04-05 19:06:00
2,Customer_2,Romania,low,62.19,2025-01-03 11:14:00
3,Customer_3,Romania,low,76.12,2025-12-21 19:34:00
4,Customer_4,Austria,low,78.93,2025-01-25 20:10:00
5,Customer_5,Austria,low,35.55,2025-06-04 09:24:00
6,Customer_6,France,low,54.4,2025-05-26 08:46:00
7,Customer_7,Poland,low,117.31,2025-07-03 16:18:00
8,Customer_8,United Kingdom,medium,159.56,2025-04-23 09:02:00
9,Customer_9,Spain,medium,296.75,2025-04-28 09:24:00
10,Customer_10,Netherlands,low,103.41,2025-03-12 13:13:00
11,Customer_11,Netherlands,low,88.35,2025-02-20 18:10:00
12,Customer_12,Romania,low,36.34,2025-07-09 18:44:00
13,Customer_13,Romania,low,52.43,2025-01-08 08:51:00
14,Customer_14,Belgium,low,26.62,2025-10-23 13:13:00
15,Customer_15,Poland,low,111.45,2025-08-05 12:08:00
16,Customer_16,Spain,low,73.9,2025-12-19 14:57:00
17,Customer_17,United Kingdom,low,41.93,2025-03-17 15:05:00
18,Customer_18,Italy,medium,113.63,2025-03-26 18:27:00
19,Customer_19,United Kingdom,low,58.16,2025-08-17 12:35:00
20,Customer_20,Italy,low,31.46,2025-09-25 12:49:00
21,Customer_21,Belgium,low,63.48,2025-08-01 19:56:00
22,Customer_22,Netherlands,high,657.18,2025-09-04 18:19:00
23,Customer_23,Romania,low,35.28,2025-03-18 20:59:00
24,Customer_24,Romania,medium,211.77,2025-08-01 09:59:00
25,Customer_25,Belgium,medium,262.97,2025-05-08 08:15:00
26,Customer_26,United Kingdom,medium,98.84,2025-08-27 09:48:00
27,Customer_27,Romania,medium,108.25,2025-08-18 10:16:00
28,Customer_28,Romania,medium,173.09,2025-04-18 20:46:00
29,Customer_29,Spain,low,59.9,2025-11-21 13:28:00
30,Customer_30,Romania,low,44.79,2025-02-11 08:37:00
31,Customer_31,Romania,low,42.02,2025-02-23 18:03:00
32,Customer_32,Spain,low,23.14,2025-06-03 16:15:00
33,Customer_33,Netherlands,low,41.42,2025-03-24 17:36:00
34,Customer_34,Poland,low,67.3,2025-07-07 09:06:00
