merchant_id,merchant_name,category,country,risk_level
1,Merchant_1,travel,France,low
2,Merchant_2,luxury,Italy,high
3,Merchant_3,restaurant,Belgium,high
4,Merchant_4,fuel,Spain,high
5,Merchant_5,electronics,United Kingdom,low
6,Merchant_6,luxury,Poland,high
7,Merchant_7,crypto,United Kingdom,low
8,Merchant_8,crypto,France,high
9,Merchant_9,grocery,United Kingdom,low
10,Merchant_10,travel,United Kingdom,medium
11,Merchant_11,restaurant,Belgium,low
12,Merchant_12,electronics,Austria,low
13,Merchant_13,fashion,France,low
14,Merchant_14,travel,United Kingdom,low
15,Merchant_15,restaurant,Austria,low
16,Merchant_16,travel,Spain,low
17,Merchant_17,gambling,Belgium,medium
18,Merchant_18,crypto,Netherlands,high
19,Merchant_19,electronics,France,high
20,Merchant_20,gambling,Romania,high
21,Merchant_21,electronics,Netherlands,low
22,Merchant_22,fashion,United Kingdom,medium
23,Merchant_23,digital_services,Belgium,medium
24,Merchant_24,electronics,France,high
25,Merchant_25,travel,Italy,medium
26,Merchant_26,grocery,Belgium,low
27,Merchant_27,digital_services,Netherlands,medium
28,Merchant_28,grocery,Italy,high
29,Merchant_29,travel,Poland,low
30,Merchant_30,grocery,Netherlands,low
31,Merchant_31,travel,Poland,medium
32,Merchant_32,electronics,Spain,low
33,Merchant_33,luxury,Germany,high
34,Merchant_34,luxury,Poland,low
35,Merchant_35,fuel,United Kingdom,medium
36,Merchant_36,restaurant,Austria,medium
37,Merchant_37,travel,Poland,medium
38,Merchant_38,restaurant,Netherlands,low
39,Merchant_39,travel,United Kingdom,high
40,Merchant_40,travel,France,low
41,Merchant_41,restaurant,Netherlands,low
42,Merchant_42,fashion,France,medium
43,Merchant_43,gambling,Poland,high
44,Merchant_44,gambling,Poland,high
45,Merchant_45,digital_services,France,low
46,Merchant_46,electronics,Italy,low
47,Merchant_47,luxury,France,high
48,Merchant_48,digital_services,Belgium,medium
49,Merchant_49,fuel,Austria,low
50,Merchant_50,travel,Netherlands,low
51,Merchant_51,gambling,Austria,medium
52,Merchant_52,gambling,Romania,high
53,Merchant_53,crypto,Austria,high
54,Merchant_54,travel,Spain,medium
55,Merchant_55,restaurant,Poland,low
56,Merchant_56,restaurant,Poland,low
57,Merchant_57,fuel,United Kingdom,low
58,Merchant_58,digital_services,Spain,low
59,Merchant_59,digital_services,Poland,medium
60,Merchant_60,crypto,Poland,high
61,Merchant_61,grocery,Poland,low
62,Merchant_62,grocery,Germany,low
63,Merchant_63,restaurant,Austria,low
64,Merchant_64,travel,Netherlands,medium
65,Merchant_65,gambling,Romania,low
66,Merchant_66,luxury,Italy,high
67,Merchant_67,grocery,Romania,low
68,Merchant_68,restaurant,Italy,low
69,Merchant_69,crypto,Netherlands,high
70,Merchant_70,crypto,Belgium,high
71,Merchant_71,digital_services,United Kingdom,low
72,Merchant_72,fuel,Romania,low
73,Merchant_73,crypto,Netherlands,medium
74,Merchant_74,digital_services,Poland,low
75,Merchant_75,luxury,Spain,high
76,Merchant_76,travel,United Kingdom,low
77,Merchant_77,travel,Romania,low
78,Merchant_78,crypto,Italy,medium
79,Merchant_79,electronics,Belgium,low
80,Merchant_80,restaurant,Netherlands,low
81,Merchant_81,gambling,Austria,medium
82,Merchant_82,gambling,United Kingdom,medium
83,Merchant_83,travel,Austria,low
84,Merchant_84,luxury,Romania,medium
85,Merchant_85,fuel,Germany,low
86,Merchant_86,travel,Poland,low
87,Merchant_87,gambling,France,low
88,Merchant_88,travel,Austria,low
89,Merchant_89,luxury,Belgium,high
90,Merchant_90,grocery,Belgium,low
91,Merchant_91,gambling,Poland,high
92,Merchant_92,electronics,United Kingdom,low
93,Merchant_93,travel,Austria,low
94,Merchant_94,crypto,Netherlands,low
95,Merchant_95,restaurant,Italy,low
96,Merchant_96,electronics,Germany,high
97,Merchant_97,fashion,France,low
98,Merchant_98,grocery,Netherlands,low
99,Merchant_99,gambling,Romania,medium
100,Merchant_100,crypto,Poland,medium
101,Merchant_101,digital_services,United Kingdom,low
102,Merchant_102,crypto,United Kingdom,high
103,Merchant_103,electronics,Spain,low
104,Merchant_104,digital_services,Spain,medium
105,Merchant_105,fashion,Spain,low
106,Merchant_106,fashion,Austria,low
107,Merchant_107,fashion,Romania,low
108,Merchant_108,crypto,Romania,medium
109,Merchant_109,travel,France,low
110,Merchant_110,restaurant,Austria,low
111,Merchant_111,fashion,Austria,low
112,Merchant_112,gambling,Germany,low
113,Merchant_113,electronics,Poland,low
114,Merchant_114,digital_services,United Kingdom,medium
115,Merchant_115,electronics,Poland,low
116,Merchant_116,electronics,Belgium,medium
117,Merchant_117,travel,United Kingdom,low
118,Merchant_118,fashion,Romania,low
119,Merchant_119,luxury,United Kingdom,high
120,Merchant_120,crypto,Spain,low
121,Merchant_121,electronics,Germany,medium
122,Merchant_122,digital_services,United Kingdom,medium
123,Merchant_123,gambling,Austria,low
124,Merchant_124,restaurant,Germany,low
125,Merchant_125,crypto,Austria,high
126,Merchant_126,travel,Italy,low
127,Merchant_127,restaurant,Poland,low
128,Merchant_128,restaurant,Romania,medium
129,Merchant_129,crypto,Spain,high
130,Merchant_130,digital_services,Romania,low
131,Merchant_131,fuel,Italy,high
132,Merchant_132,gambling,Poland,high
133,Merchant_133,luxury,Romania,high
134,Merchant_134,digital_services,Spain,medium
135,Merchant_135,electronics,Spain,low
136,Merchant_136,restaurant,Austria,low
137,Merchant_137,travel,Germany,high
138,Merchant_138,crypto,Spain,low
139,Merchant_139,electronics,Romania,low
140,Merchant_140,restaurant,Austria,low
141,Merchant_141,gambling,Romania,low
142,Merchant_142,luxury,France,high
143,Merchant_143,digital_services,Austria,low
144,Merchant_144,crypto,Germany,low
145,Merchant_145,digital_services,Austria,low
146,Merchant_146,electronics,Poland,medium
147,Merchant_147,travel,Austria,low
148,Merchant_148,electronics,Belgium,low
149,Merchant_149,restaurant,Austria,medium
150,Merchant_150,fashion,Italy,low
151,Merchant_151,restaurant,Netherlands,low
