transaction_id,customer_id,card_id,merchant_id,amount,currency,country,transaction_time,channel,device_id,is_foreign_country,is_night_transaction,risk_score,status,fraud_label
1,371,90503,349,43.98,EUR,Romania,2026-05-20 19:48:21,online,DEV_371_3,0,0,0,APPROVED,0
2,4490,92285,313,55.9,EUR,Netherlands,2026-02-18 15:16:36,online,DEV_4490_1,0,0,0,APPROVED,0
5,1369,92193,87,95.24,EUR,United Kingdom,2026-06-09 19:06:35,online,DEV_1369_1,0,0,0,APPROVED,0
6,365,94667,140,63.99,EUR,Netherlands,2026-01-27 16:00:22,online,DEV_365_2,0,0,0,APPROVED,0
7,489,92598,8,95.13,EUR,Spain,2026-06-26 14:58:14,pos,DEV_489_3,0,0,25,APPROVED,0
8,3397,92621,37,156.23,EUR,Romania,2026-06-26 10:44:36,online,DEV_3397_2,0,0,10,APPROVED,0
10,2338,94301,109,347.48,EUR,Italy,2026-01-22 10:18:45,online,DEV_2338_3,0,0,0,APPROVED,0
13,3010,91934,476,139.91,EUR,Austria,2026-04-26 16:32:54,pos,DEV_3010_1,0,0,25,APPROVED,0
16,4657,90525,281,35.07,EUR,Austria,2026-02-10 18:02:38,online,DEV_4657_2,0,0,10,APPROVED,0
17,4000,90249,83,677.87,EUR,Poland,2026-03-05 00:55:58,online,DEV_NEW_806822,1,1,75,BLOCKED,1
18,832,94136,319,37.81,EUR,Germany,2026-03-31 20:15:31,online,DEV_832_3,0,0,25,APPROVED,0
20,3883,90118,273,59.34,EUR,Austria,2026-04-28 21:49:23,pos,DEV_3883_3,0,0,25,APPROVED,0
23,708,90808,71,21.12,EUR,Germany,2026-03-28 06:36:58,online,DEV_708_1,0,0,0,APPROVED,0
25,2226,91591,391,1500.46,EUR,Spain,2026-04-02 13:38:26,online,DEV_2226_1,1,0,30,APPROVED,0
26,4122,91959,313,215.41,EUR,Poland,2026-01-23 19:19:56,pos,DEV_4122_1,0,0,0,APPROVED,0
27,1739,90572,304,160.8,EUR,Germany,2026-03-05 15:22:52,pos,DEV_1739_1,0,0,10,APPROVED,0
28,3121,92439,101,139.37,EUR,Poland,2026-02-20 12:05:47,online,DEV_3121_2,0,0,0,APPROVED,0
29,2470,95180,87,43.47,EUR,Austria,2026-05-11 16:20:46,pos,DEV_2470_2,0,0,0,APPROVED,0
30,1532,94817,391,36.63,EUR,United Kingdom,2026-04-27 19:35:15,online,DEV_1532_2,0,0,0,APPROVED,0
31,1813,94064,91,103.2,EUR,Italy,2026-03-15 18:09:12,online,DEV_1813_2,1,0,45,REVIEW,0
32,626,95042,144,47.22,EUR,United Kingdom,2026-03-27 06:06:25,pos,DEV_626_2,0,0,0,APPROVED,0
33,1613,94738,255,149.58,EUR,Germany,2026-06-22 14:08:24,online,DEV_1613_1,0,0,0,APPROVED,0
34,4958,95545,204,159.72,EUR,Netherlands,2026-04-14 10:43:20,pos,DEV_4958_1,0,0,0,APPROVED,0
35,2334,90532,199,158.64,EUR,Austria,2026-04-10 19:40:54,pos,DEV_2334_2,0,0,25,APPROVED,0
36,1524,95341,306,68.44,EUR,Italy,2026-02-26 08:31:39,pos,DEV_1524_1,1,0,20,APPROVED,0
37,4596,92854,416,36.31,EUR,Austria,2026-01-31 19:36:24,pos,DEV_4596_2,0,0,0,APPROVED,0
38,578,90755,439,110.97,EUR,Austria,2026-04-19 15:26:47,pos,DEV_578_2,0,0,0,APPROVED,0
